 名称,地址,服务时间,类型,联系电话等,许可证号,许可证有效期 ,lat,lng,town
 佛山市南海区丹灶聚农庄美食店,佛山市南海区丹灶镇丹横路7号宿舍楼首层商铺, ,大型餐馆, ,粤餐证字2014440605004524,2017-07-24 00:00:00.0 ,23.057586,112.910658,丹灶镇,丹横路
 佛山市南海区西樵民乐嘉诚酒楼,佛山市南海区西樵联新康和商贸中心D座119-130号, ,中型餐馆, ,0682C00357,2015-01-14 00:00:00.0 ,22.964976,112.951465,西樵镇,符村大道
 佛山市南海毅耀金属制品有限公司,佛山市南海区大沥颜峰丹邱工业区（长峰路一号）, ,食堂, ,0682D36681,2015-01-11 00:00:00.0 ,23.112482,113.116558,大沥镇,振兴路
 佛山市海天调味食品有限公司大榄加工场饭堂,佛山市南海区狮山镇官窑大榄管理区, ,食堂, ,粤餐证字2012440605000668,2015-08-06 00:00:00.0 ,23.194687,113.027913,狮山镇,大榄大道
 佛山市南海锐丰餐馆,佛山市南海区大沥镇黄岐泌冲建设大道泌一新村横街38号, ,小型餐馆, ,0682C25484,2014-11-17 00:00:00.0 ,23.144566,113.184928,大沥镇,泌一新村七巷
 佛山市南海区大沥镇黄岐满记火锅店,佛山市南海区大沥镇黄岐九村综合商铺A13-17号, ,中型餐馆, ,粤餐证字2012440605000004,2015-04-05 00:00:00.0 ,23.115075,113.178028,大沥镇,东湖路
 佛山市南海区狮山镇小塘初级中学,佛山市南海区狮山镇小塘城区四环路, ,食堂, ,粤餐证字2012440605000062,2015-04-17 00:00:00.0 ,23.099157,112.977493,狮山镇,四环路
 佛山市南海区狮山兴贤幼儿园,佛山市南海区狮山镇兴贤村, ,食堂, ,粤餐证字2012440605000078,2015-04-22 00:00:00.0 ,23.124953,113.002144,狮山镇,博爱路
 广东三元麦当劳食品有限公司佛山南海松岗桃园三路得来速分店,佛山市南海区狮山镇松岗桃园三路1号自编一层1F1A和二层2F2A商铺, ,快餐店, ,粤餐证字2012440605000086,2015-04-23 00:00:00.0 ,23.14905,113.095002,狮山镇,桃园三路
 佛山市南海区宏瑞美食店,佛山市南海区狮山镇狮山广场B座第一层外铺54、55、56号铺, ,小型餐馆, ,粤餐证字2012440605000106,2015-04-26 00:00:00.0 ,23.126844,113.004924,狮山镇,狮城路辅路
 广东三元麦当劳食品有限公司南海大道分店,佛山市南海区桂城街道南海大道北75号凯德广场首层, ,快餐店, ,粤餐证字2012440605000130,2015-03-12 00:00:00.0 ,23.035642,113.135355,桂城街道,南海大道
 佛山市南海区国家税务局丹灶税务分局,佛山市南海区丹灶镇桂丹西路86号, ,食堂, ,粤餐证字2012440605000156,2015-05-08 00:00:00.0 ,23.055063,112.915861,丹灶镇,桂丹西路
 佛山市南海区狮山华涌幼儿园,佛山市南海区狮山镇华涌小学侧, ,食堂, ,粤餐证字2012440605000246,2015-05-20 00:00:00.0 ,23.139283,112.989193,狮山镇,广云路辅路
 佛山市南海区蜀渝人家川菜馆,佛山市南海区大沥城南二路8号钟边铁村新区商铺首层7.8.9.10号铺, ,中型餐馆, ,粤餐证字2012440605000311,2015-05-30 00:00:00.0 ,23.094767,113.109808,大沥镇,良濠路
